ZEIT,Absolut,Modal Split V.leistung - Fahrrad,Modal Split V.leistung - Fuß,Modal Split V.leistung - Kfz,Modal Split V.leistung - sonstige,Modal Split V.leistung - ÖV
2019,8500000.0,15.1,1.3,58.9,0.1,24.6
2022,7646000.0,24.0,3.0,48.0,,25.0
