JAHR;KATEGORIE;MERKMAL;WERT;EINHEIT
2010;Wertstoffe in kg pro Einwohner/Jahr;;295;kg
2011;Wertstoffe in kg pro Einwohner/Jahr;;289;kg
2012;Wertstoffe in kg pro Einwohner/Jahr;;277;kg
2013;Wertstoffe in kg pro Einwohner/Jahr;;272;kg
2014;Wertstoffe in kg pro Einwohner/Jahr;;284;kg
2015;Wertstoffe in kg pro Einwohner/Jahr;;266;kg
2016;Wertstoffe in kg pro Einwohner/Jahr;;270;kg
2017;Wertstoffe in kg pro Einwohner/Jahr;;266;kg
2018;Wertstoffe in kg pro Einwohner/Jahr;;260;kg
2019;Wertstoffe in kg pro Einwohner/Jahr;;255;kg
2006;Anteil Wertstoffe am Abfallaufkommen in %;;63;%
2007;Anteil Wertstoffe am Abfallaufkommen in %;;63;%
2008;Anteil Wertstoffe am Abfallaufkommen in %;;63;%
2009;Anteil Wertstoffe am Abfallaufkommen in %;;64;%
2010;Anteil Wertstoffe am Abfallaufkommen in %;;63;%
2011;Anteil Wertstoffe am Abfallaufkommen in %;;63;%
2012;Anteil Wertstoffe am Abfallaufkommen in %;;63;%
2013;Anteil Wertstoffe am Abfallaufkommen in %;;63;%
2014;Anteil Wertstoffe am Abfallaufkommen in %;;59;%
2015;Anteil Wertstoffe am Abfallaufkommen in %;;62;%
2016;Anteil Wertstoffe am Abfallaufkommen in %;;62;%
2017;Anteil Wertstoffe am Abfallaufkommen in %;;62;%
2018;Anteil Wertstoffe am Abfallaufkommen in %;;62;%
2019;Anteil Wertstoffe am Abfallaufkommen in %;;61;%
2006;Restabfall in kg pro Einwohner/Jahr;;178;kg
2007;Restabfall in kg pro Einwohner/Jahr;;180;kg
2008;Restabfall in kg pro Einwohner/Jahr;;177;kg
2009;Restabfall in kg pro Einwohner/Jahr;;172;kg
2010;Restabfall in kg pro Einwohner/Jahr;;173;kg
2011;Restabfall in kg pro Einwohner/Jahr;;170;kg
2012;Restabfall in kg pro Einwohner/Jahr;;161;kg
2013;Restabfall in kg pro Einwohner/Jahr;;159;kg
2014;Restabfall in kg pro Einwohner/Jahr;;195;kg
2015;Restabfall in kg pro Einwohner/Jahr;;160;kg
2016;Restabfall in kg pro Einwohner/Jahr;;165;kg
2017;Restabfall in kg pro Einwohner/Jahr;;162;kg
2018;Restabfall in kg pro Einwohner/Jahr;;161;kg
2019;Restabfall in kg pro Einwohner/Jahr;;162;kg
2019;Problemabfälle;Dispersionsfarbe;127;t
2019;Problemabfälle;Altlacke und Löse-, Holzschutz- und Klebemittel;86;t
2019;Problemabfälle;Altöl;41;t
2019;Problemabfälle;ölhaltige Abfälle;45;t
2019;Problemabfälle;sonstige Problemabfälle;38;t
2019;Problemabfälle;Batterien inkl Knopfzellen;37;t
2019;Problemabfälle;Autobatterien;26;t
2019;Sammlung über Holsysteme;Restabfalltonne;35956;t
2019;Sammlung über Holsysteme;Papiertonne;18069;t
2019;Sammlung über Holsysteme;Biotonne;15357;t
2019;Sammlung über Holsysteme;Verpackungen (DSD);8972;t
2019;Sammlung über Holsysteme;Sperrgutabfuhr;7700;t
2019;Sammlung über Holsysteme;Grüngutabfuhr;4923;t
2018;Sammlung über Holsysteme;Restabfalltonne;36263;t
2018;Sammlung über Holsysteme;Papiertonne;19145;t
2018;Sammlung über Holsysteme;Biotonne;15495;t
2018;Sammlung über Holsysteme;Verpackungen (DSD);8963;t
2018;Sammlung über Holsysteme;Sperrgutabfuhr;7396;t
2018;Sammlung über Holsysteme;Grüngutabfuhr;5106;t
2019;Wertstoffsammlung über Recyclinghöfe;Grünabfälle;8475;t
2019;Wertstoffsammlung über Recyclinghöfe;Altholz, behandeltes Holz;3828;t
2019;Wertstoffsammlung über Recyclinghöfe;Papier;2930;t
2019;Wertstoffsammlung über Recyclinghöfe;Metalle, Kabelabfälle;1269;t
2019;Wertstoffsammlung über Recyclinghöfe;Elektronikgeräte;1014;t
2019;Wertstoffsammlung über Recyclinghöfe;Verpackungsabfälle (DSD);746;t
2019;Wertstoffsammlung über Recyclinghöfe;Bauschutt;429;t
2019;Wertstoffsammlung über Recyclinghöfe;Kühlgeräte;247;t
2019;Wertstoffsammlung über Recyclinghöfe;Problemabfälle;368;t
2019;Wertstoffsammlung über Recyclinghöfe;Elektronikgroßgeräte;357;t
2019;Wertstoffsammlung über Recyclinghöfe;Hartkunststoffe;289;t
2019;Wertstoffsammlung über Recyclinghöfe;Altreifen;166;t
2019;Wertstoffsammlung über Recyclinghöfe;Flachglas;103;t
2018;Wertstoffsammlung über Recyclinghöfe;Grünabfälle;8.614;t
2018;Wertstoffsammlung über Recyclinghöfe;Altholz, behandeltes Holz;4.158;t
2018;Wertstoffsammlung über Recyclinghöfe;Papier;2.747;t
2018;Wertstoffsammlung über Recyclinghöfe;Metalle, Kabelabfälle;1.312;t
2018;Wertstoffsammlung über Recyclinghöfe;Elektronikgeräte;1.051;t
2018;Wertstoffsammlung über Recyclinghöfe;Verpackungsabfälle (DSD);746;t
2018;Wertstoffsammlung über Recyclinghöfe;Bauschutt;301;t
2018;Wertstoffsammlung über Recyclinghöfe;Kühlgeräte;229;t
2018;Wertstoffsammlung über Recyclinghöfe;Problemabfälle;346;t
2018;Wertstoffsammlung über Recyclinghöfe;Elektronikgroßgeräte;314;t
2018;Wertstoffsammlung über Recyclinghöfe;Hartkunststoffe;284;t
2018;Wertstoffsammlung über Recyclinghöfe;Altreifen;189;t
2018;Wertstoffsammlung über Recyclinghöfe;Flachglas;180;t
2018;Problemabfälle;Dispersionsfarbe;125;t
2018;Problemabfälle;Altlacke und Löse-, Holzschutz- und Klebemittel;81;t
2018;Problemabfälle;Altöl;36;t
2018;Problemabfälle;ölhaltige Abfälle;39;t
2018;Problemabfälle;sonstige Problemabfälle;35;t
2018;Problemabfälle;Batterien inkl. Knopfzellen;30;t
2018;Problemabfälle;Autobatterien;22;t
